product_id,product_key,product_name,product_cost,product_category,start_date,end_date
212,AC-HE-HL-U509-R,SPORT-100 HELMET- RED,12.0,Sports,2011-07-01,2007-12-28
213,AC-HE-HL-U509-R,SPORT-100 HELMET- RED,14.0,Sports,2012-07-01,2008-12-27
214,AC-HE-HL-U509-R,SPORT-100 HELMET- RED,13.0,Sports,2013-07-01,
215,AC-HE-HL-U509,SPORT-100 HELMET- BLACK,12.0,Sports,2011-07-01,2007-12-28
216,AC-HE-HL-U509,SPORT-100 HELMET- BLACK,14.0,Sports,2012-07-01,2008-12-27
217,AC-HE-HL-U509,SPORT-100 HELMET- BLACK,13.0,Sports,2013-07-01,
218,CL-SO-SO-B909-M,MOUNTAIN BIKE SOCKS- M,3.0,Mountain,2011-07-01,2007-12-28
219,CL-SO-SO-B909-L,MOUNTAIN BIKE SOCKS- L,3.0,Mountain,2011-07-01,2007-12-28
220,AC-HE-HL-U509-B,SPORT-100 HELMET- BLUE,12.0,Sports,2011-07-01,2007-12-28
221,AC-HE-HL-U509-B,SPORT-100 HELMET- BLUE,14.0,Sports,2012-07-01,2008-12-27
222,AC-HE-HL-U509-B,SPORT-100 HELMET- BLUE,13.0,Sports,2013-07-01,
223,CL-CA-CA-1098,AWC LOGO CAP,6.0,Sports,2011-07-01,2007-12-28
224,CL-CA-CA-1098,AWC LOGO CAP,5.0,Sports,2012-07-01,2008-12-27
225,CL-CA-CA-1098,AWC LOGO CAP,7.0,Sports,2013-07-01,
226,CL-JE-LJ-0192-S,LONG-SLEEVE LOGO JERSEY- S,32.0,Sports,2011-07-01,2007-12-28
227,CL-JE-LJ-0192-S,LONG-SLEEVE LOGO JERSEY- S,29.0,Sports,2012-07-01,2008-12-27
228,CL-JE-LJ-0192-S,LONG-SLEEVE LOGO JERSEY- S,38.0,Sports,2013-07-01,
229,CL-JE-LJ-0192-M,LONG-SLEEVE LOGO JERSEY- M,32.0,Sports,2011-07-01,2007-12-28
230,CL-JE-LJ-0192-M,LONG-SLEEVE LOGO JERSEY- M,29.0,Sports,2012-07-01,2008-12-27
231,CL-JE-LJ-0192-M,LONG-SLEEVE LOGO JERSEY- M,38.0,Sports,2013-07-01,
232,CL-JE-LJ-0192-L,LONG-SLEEVE LOGO JERSEY- L,32.0,Sports,2011-07-01,2007-12-28
233,CL-JE-LJ-0192-L,LONG-SLEEVE LOGO JERSEY- L,29.0,Sports,2012-07-01,2008-12-27
234,CL-JE-LJ-0192-L,LONG-SLEEVE LOGO JERSEY- L,38.0,Sports,2013-07-01,
235,CL-JE-LJ-0192-X,LONG-SLEEVE LOGO JERSEY- XL,32.0,Sports,2011-07-01,2007-12-28
236,CL-JE-LJ-0192-X,LONG-SLEEVE LOGO JERSEY- XL,29.0,Sports,2012-07-01,2008-12-27
237,CL-JE-LJ-0192-X,LONG-SLEEVE LOGO JERSEY- XL,38.0,Sports,2013-07-01,
238,CO-RF-FR-R92R-62,HL ROAD FRAME - RED- 62,748.0,Roadways,2011-07-01,2007-12-28
239,CO-RF-FR-R92R-62,HL ROAD FRAME - RED- 62,722.0,Roadways,2012-07-01,2008-12-27
240,CO-RF-FR-R92R-62,HL ROAD FRAME - RED- 62,869.0,Roadways,2013-07-01,
241,CO-RF-FR-R92R-44,HL ROAD FRAME - RED- 44,748.0,Roadways,2011-07-01,2007-12-28
242,CO-RF-FR-R92R-44,HL ROAD FRAME - RED- 44,722.0,Roadways,2012-07-01,2008-12-27
243,CO-RF-FR-R92R-44,HL ROAD FRAME - RED- 44,869.0,Roadways,2013-07-01,
244,CO-RF-FR-R92R-48,HL ROAD FRAME - RED- 48,748.0,Roadways,2011-07-01,2007-12-28
245,CO-RF-FR-R92R-48,HL ROAD FRAME - RED- 48,722.0,Roadways,2012-07-01,2008-12-27
246,CO-RF-FR-R92R-48,HL ROAD FRAME - RED- 48,869.0,Roadways,2013-07-01,
247,CO-RF-FR-R92R-52,HL ROAD FRAME - RED- 52,748.0,Roadways,2011-07-01,2007-12-28
248,CO-RF-FR-R92R-52,HL ROAD FRAME - RED- 52,722.0,Roadways,2012-07-01,2008-12-27
249,CO-RF-FR-R92R-52,HL ROAD FRAME - RED- 52,869.0,Roadways,2013-07-01,
250,CO-RF-FR-R92R-56,HL ROAD FRAME - RED- 56,748.0,Roadways,2011-07-01,2007-12-28
251,CO-RF-FR-R92R-56,HL ROAD FRAME - RED- 56,722.0,Roadways,2012-07-01,2008-12-27
252,CO-RF-FR-R92R-56,HL ROAD FRAME - RED- 56,869.0,Roadways,2013-07-01,
253,CO-RF-FR-R38B-58,LL ROAD FRAME - BLACK- 58,176.0,Roadways,2011-07-01,2007-12-28
254,CO-RF-FR-R38B-58,LL ROAD FRAME - BLACK- 58,170.0,Roadways,2012-07-01,2008-12-27
255,CO-RF-FR-R38B-58,LL ROAD FRAME - BLACK- 58,205.0,Roadways,2013-07-01,
256,CO-RF-FR-R38B-60,LL ROAD FRAME - BLACK- 60,176.0,Roadways,2011-07-01,2007-12-28
257,CO-RF-FR-R38B-60,LL ROAD FRAME - BLACK- 60,170.0,Roadways,2012-07-01,2008-12-27
258,CO-RF-FR-R38B-60,LL ROAD FRAME - BLACK- 60,205.0,Roadways,2013-07-01,
259,CO-RF-FR-R38B-62,LL ROAD FRAME - BLACK- 62,176.0,Roadways,2011-07-01,2007-12-28
260,CO-RF-FR-R38B-62,LL ROAD FRAME - BLACK- 62,170.0,Roadways,2012-07-01,2008-12-27
261,CO-RF-FR-R38B-62,LL ROAD FRAME - BLACK- 62,205.0,Roadways,2013-07-01,
262,CO-RF-FR-R38R-44,LL ROAD FRAME - RED- 44,181.0,Roadways,2011-07-01,2007-12-28
263,CO-RF-FR-R38R-44,LL ROAD FRAME - RED- 44,187.0,Roadways,2012-07-01,2008-12-27
264,CO-RF-FR-R38R-48,LL ROAD FRAME - RED- 48,181.0,Roadways,2011-07-01,2007-12-28
265,CO-RF-FR-R38R-48,LL ROAD FRAME - RED- 48,187.0,Roadways,2012-07-01,2008-12-27
266,CO-RF-FR-R38R-52,LL ROAD FRAME - RED- 52,181.0,Roadways,2011-07-01,2007-12-28
267,CO-RF-FR-R38R-52,LL ROAD FRAME - RED- 52,187.0,Roadways,2012-07-01,2008-12-27
268,CO-RF-FR-R38R-58,LL ROAD FRAME - RED- 58,181.0,Roadways,2011-07-01,2007-12-28
269,CO-RF-FR-R38R-58,LL ROAD FRAME - RED- 58,187.0,Roadways,2012-07-01,2008-12-27
270,CO-RF-FR-R38R-60,LL ROAD FRAME - RED- 60,181.0,Roadways,2011-07-01,2007-12-28
271,CO-RF-FR-R38R-60,LL ROAD FRAME - RED- 60,187.0,Roadways,2012-07-01,2008-12-27
272,CO-RF-FR-R38R-62,LL ROAD FRAME - RED- 62,181.0,Roadways,2011-07-01,2007-12-28
273,CO-RF-FR-R38R-62,LL ROAD FRAME - RED- 62,187.0,Roadways,2012-07-01,2008-12-27
274,CO-RF-FR-R72R-44,ML ROAD FRAME - RED- 44,352.0,Roadways,2011-07-01,2007-12-28
275,CO-RF-FR-R72R-48,ML ROAD FRAME - RED- 48,352.0,Roadways,2011-07-01,2007-12-28
276,CO-RF-FR-R72R-52,ML ROAD FRAME - RED- 52,352.0,Roadways,2011-07-01,2007-12-28
277,CO-RF-FR-R72R-58,ML ROAD FRAME - RED- 58,352.0,Roadways,2011-07-01,2007-12-28
278,CO-RF-FR-R72R-60,ML ROAD FRAME - RED- 60,352.0,Roadways,2011-07-01,2007-12-28
279,CO-RF-FR-R38B-44,LL ROAD FRAME - BLACK- 44,176.0,Roadways,2011-07-01,2007-12-28
280,CO-RF-FR-R38B-44,LL ROAD FRAME - BLACK- 44,170.0,Roadways,2012-07-01,2008-12-27
281,CO-RF-FR-R38B-44,LL ROAD FRAME - BLACK- 44,205.0,Roadways,2013-07-01,
282,CO-RF-FR-R38B-48,LL ROAD FRAME - BLACK- 48,176.0,Roadways,2011-07-01,2007-12-28
283,CO-RF-FR-R38B-48,LL ROAD FRAME - BLACK- 48,170.0,Roadways,2012-07-01,2008-12-27
284,CO-RF-FR-R38B-48,LL ROAD FRAME - BLACK- 48,205.0,Roadways,2013-07-01,
285,CO-RF-FR-R38B-52,LL ROAD FRAME - BLACK- 52,176.0,Roadways,2011-07-01,2007-12-28
286,CO-RF-FR-R38B-52,LL ROAD FRAME - BLACK- 52,170.0,Roadways,2012-07-01,2008-12-27
287,CO-RF-FR-R38B-52,LL ROAD FRAME - BLACK- 52,205.0,Roadways,2013-07-01,
288,CO-MF-FR-M94S-42,HL MOUNTAIN FRAME - SILVER- 42,624.0,Mountain,2011-07-01,2007-12-28
289,CO-MF-FR-M94S-42,HL MOUNTAIN FRAME - SILVER- 42,661.0,Mountain,2012-07-01,2008-12-27
290,CO-MF-FR-M94S-42,HL MOUNTAIN FRAME - SILVER- 42,747.0,Mountain,2013-07-01,
291,CO-MF-FR-M94S-44,HL MOUNTAIN FRAME - SILVER- 44,707.0,Mountain,2011-07-01,2007-12-28
292,CO-MF-FR-M94S-52,HL MOUNTAIN FRAME - SILVER- 48,707.0,Mountain,2011-07-01,2007-12-28
293,CO-MF-FR-M94S-46,HL MOUNTAIN FRAME - SILVER- 46,624.0,Mountain,2011-07-01,2007-12-28
294,CO-MF-FR-M94S-46,HL MOUNTAIN FRAME - SILVER- 46,661.0,Mountain,2012-07-01,2008-12-27
295,CO-MF-FR-M94S-46,HL MOUNTAIN FRAME - SILVER- 46,747.0,Mountain,2013-07-01,
296,CO-MF-FR-M94B-42,HL MOUNTAIN FRAME - BLACK- 42,617.0,Mountain,2011-07-01,2007-12-28
297,CO-MF-FR-M94B-42,HL MOUNTAIN FRAME - BLACK- 42,654.0,Mountain,2012-07-01,2008-12-27
298,CO-MF-FR-M94B-42,HL MOUNTAIN FRAME - BLACK- 42,739.0,Mountain,2013-07-01,
299,CO-MF-FR-M94B-44,HL MOUNTAIN FRAME - BLACK- 44,699.0,Mountain,2011-07-01,2007-12-28
300,CO-MF-FR-M94B-48,HL MOUNTAIN FRAME - BLACK- 48,699.0,Mountain,2011-07-01,2007-12-28
301,CO-MF-FR-M94B-46,HL MOUNTAIN FRAME - BLACK- 46,617.0,Mountain,2011-07-01,2007-12-28
302,CO-MF-FR-M94B-46,HL MOUNTAIN FRAME - BLACK- 46,654.0,Mountain,2012-07-01,2008-12-27
303,CO-MF-FR-M94B-46,HL MOUNTAIN FRAME - BLACK- 46,739.0,Mountain,2013-07-01,
304,CO-MF-FR-M94B-38,HL MOUNTAIN FRAME - BLACK- 38,617.0,Mountain,2011-07-01,2007-12-28
305,CO-MF-FR-M94B-38,HL MOUNTAIN FRAME - BLACK- 38,654.0,Mountain,2012-07-01,2008-12-27
306,CO-MF-FR-M94B-38,HL MOUNTAIN FRAME - BLACK- 38,739.0,Mountain,2013-07-01,
307,CO-MF-FR-M94S-38,HL MOUNTAIN FRAME - SILVER- 38,624.0,Mountain,2011-07-01,2007-12-28
308,CO-MF-FR-M94S-38,HL MOUNTAIN FRAME - SILVER- 38,661.0,Mountain,2012-07-01,2008-12-27
309,CO-MF-FR-M94S-38,HL MOUNTAIN FRAME - SILVER- 38,747.0,Mountain,2013-07-01,
310,BI-RB-BK-R93R-62,ROAD-150 RED- 62,2171.0,Roadways,2011-07-01,2007-12-28
311,BI-RB-BK-R93R-44,ROAD-150 RED- 44,2171.0,Roadways,2011-07-01,2007-12-28
312,BI-RB-BK-R93R-48,ROAD-150 RED- 48,2171.0,Roadways,2011-07-01,2007-12-28
313,BI-RB-BK-R93R-52,ROAD-150 RED- 52,2171.0,Roadways,2011-07-01,2007-12-28
314,BI-RB-BK-R93R-56,ROAD-150 RED- 56,2171.0,Roadways,2011-07-01,2007-12-28
315,BI-RB-BK-R68R-58,ROAD-450 RED- 58,885.0,Roadways,2011-07-01,2007-12-28
316,BI-RB-BK-R68R-60,ROAD-450 RED- 60,885.0,Roadways,2011-07-01,2007-12-28
317,BI-RB-BK-R68R-44,ROAD-450 RED- 44,885.0,Roadways,2011-07-01,2007-12-28
318,BI-RB-BK-R68R-48,ROAD-450 RED- 48,885.0,Roadways,2011-07-01,2007-12-28
319,BI-RB-BK-R68R-52,ROAD-450 RED- 52,885.0,Roadways,2011-07-01,2007-12-28
320,BI-RB-BK-R50R-58,ROAD-650 RED- 58,413.0,Roadways,2011-07-01,2007-12-28
321,BI-RB-BK-R50R-58,ROAD-650 RED- 58,487.0,Roadways,2012-07-01,2008-12-27
322,BI-RB-BK-R50R-60,ROAD-650 RED- 60,413.0,Roadways,2011-07-01,2007-12-28
323,BI-RB-BK-R50R-60,ROAD-650 RED- 60,487.0,Roadways,2012-07-01,2008-12-27
324,BI-RB-BK-R50R-62,ROAD-650 RED- 62,413.0,Roadways,2011-07-01,2007-12-28
325,BI-RB-BK-R50R-62,ROAD-650 RED- 62,487.0,Roadways,2012-07-01,2008-12-27
326,BI-RB-BK-R50R-44,ROAD-650 RED- 44,413.0,Roadways,2011-07-01,2007-12-28
327,BI-RB-BK-R50R-44,ROAD-650 RED- 44,487.0,Roadways,2012-07-01,2008-12-27
328,BI-RB-BK-R50R-48,ROAD-650 RED- 48,413.0,Roadways,2011-07-01,2007-12-28
329,BI-RB-BK-R50R-48,ROAD-650 RED- 48,487.0,Roadways,2012-07-01,2008-12-27
330,BI-RB-BK-R50R-52,ROAD-650 RED- 52,413.0,Roadways,2011-07-01,2007-12-28
331,BI-RB-BK-R50R-52,ROAD-650 RED- 52,487.0,Roadways,2012-07-01,2008-12-27
332,BI-RB-BK-R50B-58,ROAD-650 BLACK- 58,413.0,Roadways,2011-07-01,2007-12-28
333,BI-RB-BK-R50B-58,ROAD-650 BLACK- 58,487.0,Roadways,2012-07-01,2008-12-27
334,BI-RB-BK-R50B-60,ROAD-650 BLACK- 60,413.0,Roadways,2011-07-01,2007-12-28
335,BI-RB-BK-R50B-60,ROAD-650 BLACK- 60,487.0,Roadways,2012-07-01,2008-12-27
336,BI-RB-BK-R50B-62,ROAD-650 BLACK- 62,413.0,Roadways,2011-07-01,2007-12-28
337,BI-RB-BK-R50B-62,ROAD-650 BLACK- 62,487.0,Roadways,2012-07-01,2008-12-27
