sales_ship_number,sales_product_key,sales_customer_id,sales_order_date,sales_ship_date,sales_due_date,sales,quantity,sales_price
SO43697,BK-R93R-62,21768,2010-12-29,2011-01-05,2011-01-10,3578.0,1,3578.0
SO43698,BK-M82S-44,28389,2010-12-29,2011-01-05,2011-01-10,3400.0,1,3400.0
SO43699,BK-M82S-44,25863,2010-12-29,2011-01-05,2011-01-10,3400.0,1,3400.0
SO43700,BK-R50B-62,14501,2010-12-29,2011-01-05,2011-01-10,699.0,1,699.0
SO43701,BK-M82S-44,11003,2010-12-29,2011-01-05,2011-01-10,3400.0,1,3400.0
SO43702,BK-R93R-44,27645,2010-12-30,2011-01-06,2011-01-11,3578.0,1,3578.0
SO43703,BK-R93R-62,16624,2010-12-30,2011-01-06,2011-01-11,3578.0,1,3578.0
SO43704,BK-M82B-48,11005,2010-12-30,2011-01-06,2011-01-11,3375.0,1,3375.0
SO43705,BK-M82S-38,11011,2010-12-30,2011-01-06,2011-01-11,3400.0,1,3400.0
SO43706,BK-R93R-48,27621,2010-12-31,2011-01-07,2011-01-12,3578.0,1,3578.0
SO43707,BK-R93R-48,27616,2010-12-31,2011-01-07,2011-01-12,3578.0,1,3578.0
SO43708,BK-R50R-52,20042,2010-12-31,2011-01-07,2011-01-12,699.0,1,699.0
SO43709,BK-R93R-52,16351,2010-12-31,2011-01-07,2011-01-12,3578.0,1,3578.0
SO43710,BK-R93R-56,16517,2010-12-31,2011-01-07,2011-01-12,3578.0,1,3578.0
SO43711,BK-R93R-56,27606,2011-01-01,2011-01-08,2011-01-13,3578.0,1,3578.0
SO43712,BK-R93R-44,13513,2011-01-01,2011-01-08,2011-01-13,3578.0,1,3578.0
SO43713,BK-R93R-62,27601,2011-01-02,2011-01-09,2011-01-14,3578.0,1,3578.0
SO43714,BK-R93R-44,13591,2011-01-02,2011-01-09,2011-01-14,3578.0,1,3578.0
SO43715,BK-R93R-56,16483,2011-01-02,2011-01-09,2011-01-14,3578.0,1,3578.0
SO43716,BK-R93R-44,16529,2011-01-02,2011-01-09,2011-01-14,3578.0,1,3578.0
SO43717,BK-R50B-62,25249,2011-01-02,2011-01-09,2011-01-14,699.0,1,699.0
SO43718,BK-R93R-44,27668,2011-01-03,2011-01-10,2011-01-15,3578.0,1,3578.0
SO43719,BK-R93R-48,27612,2011-01-03,2011-01-10,2011-01-15,3578.0,1,3578.0
SO43720,BK-R93R-44,13264,2011-01-03,2011-01-10,2011-01-15,3578.0,1,3578.0
SO43721,BK-R93R-62,13590,2011-01-03,2011-01-10,2011-01-15,3578.0,1,3578.0
SO43722,BK-R93R-48,13581,2011-01-04,2011-01-11,2011-01-16,3578.0,1,3578.0
SO43723,BK-R50B-58,14520,2011-01-04,2011-01-11,2011-01-16,699.0,1,699.0
SO43724,BK-R93R-44,16520,2011-01-04,2011-01-11,2011-01-16,3578.0,1,3578.0
SO43725,BK-R93R-44,13258,2011-01-05,2011-01-12,2011-01-17,3578.0,1,3578.0
