S.NO.,product_id,product_key,product_name,category_id,product_category,product_subcategory,product_maintenance,product_cost,product_line,start_date,end_date
1,212,AC-HE-HL-U509-R,SPORT-100 HELMET- RED,AC-HE,Accessories,Helmets,Yes,12.0,Sports,2011-07-01,2007-12-28
2,213,AC-HE-HL-U509-R,SPORT-100 HELMET- RED,AC-HE,Accessories,Helmets,Yes,14.0,Sports,2012-07-01,2008-12-27
3,214,AC-HE-HL-U509-R,SPORT-100 HELMET- RED,AC-HE,Accessories,Helmets,Yes,13.0,Sports,2013-07-01,
4,215,AC-HE-HL-U509,SPORT-100 HELMET- BLACK,AC-HE,Accessories,Helmets,Yes,12.0,Sports,2011-07-01,2007-12-28
5,216,AC-HE-HL-U509,SPORT-100 HELMET- BLACK,AC-HE,Accessories,Helmets,Yes,14.0,Sports,2012-07-01,2008-12-27
6,217,AC-HE-HL-U509,SPORT-100 HELMET- BLACK,AC-HE,Accessories,Helmets,Yes,13.0,Sports,2013-07-01,
7,218,CL-SO-SO-B909-M,MOUNTAIN BIKE SOCKS- M,CL-SO,Clothing,Socks,No,3.0,Mountain,2011-07-01,2007-12-28
8,219,CL-SO-SO-B909-L,MOUNTAIN BIKE SOCKS- L,CL-SO,Clothing,Socks,No,3.0,Mountain,2011-07-01,2007-12-28
9,220,AC-HE-HL-U509-B,SPORT-100 HELMET- BLUE,AC-HE,Accessories,Helmets,Yes,12.0,Sports,2011-07-01,2007-12-28
10,221,AC-HE-HL-U509-B,SPORT-100 HELMET- BLUE,AC-HE,Accessories,Helmets,Yes,14.0,Sports,2012-07-01,2008-12-27
11,222,AC-HE-HL-U509-B,SPORT-100 HELMET- BLUE,AC-HE,Accessories,Helmets,Yes,13.0,Sports,2013-07-01,
12,223,CL-CA-CA-1098,AWC LOGO CAP,CL-CA,Clothing,Caps,No,6.0,Sports,2011-07-01,2007-12-28
13,224,CL-CA-CA-1098,AWC LOGO CAP,CL-CA,Clothing,Caps,No,5.0,Sports,2012-07-01,2008-12-27
14,225,CL-CA-CA-1098,AWC LOGO CAP,CL-CA,Clothing,Caps,No,7.0,Sports,2013-07-01,
15,226,CL-JE-LJ-0192-S,LONG-SLEEVE LOGO JERSEY- S,CL-JE,Clothing,Jerseys,No,32.0,Sports,2011-07-01,2007-12-28
16,227,CL-JE-LJ-0192-S,LONG-SLEEVE LOGO JERSEY- S,CL-JE,Clothing,Jerseys,No,29.0,Sports,2012-07-01,2008-12-27
17,228,CL-JE-LJ-0192-S,LONG-SLEEVE LOGO JERSEY- S,CL-JE,Clothing,Jerseys,No,38.0,Sports,2013-07-01,
18,229,CL-JE-LJ-0192-M,LONG-SLEEVE LOGO JERSEY- M,CL-JE,Clothing,Jerseys,No,32.0,Sports,2011-07-01,2007-12-28
19,230,CL-JE-LJ-0192-M,LONG-SLEEVE LOGO JERSEY- M,CL-JE,Clothing,Jerseys,No,29.0,Sports,2012-07-01,2008-12-27
20,231,CL-JE-LJ-0192-M,LONG-SLEEVE LOGO JERSEY- M,CL-JE,Clothing,Jerseys,No,38.0,Sports,2013-07-01,
21,232,CL-JE-LJ-0192-L,LONG-SLEEVE LOGO JERSEY- L,CL-JE,Clothing,Jerseys,No,32.0,Sports,2011-07-01,2007-12-28
22,233,CL-JE-LJ-0192-L,LONG-SLEEVE LOGO JERSEY- L,CL-JE,Clothing,Jerseys,No,29.0,Sports,2012-07-01,2008-12-27
23,234,CL-JE-LJ-0192-L,LONG-SLEEVE LOGO JERSEY- L,CL-JE,Clothing,Jerseys,No,38.0,Sports,2013-07-01,
24,235,CL-JE-LJ-0192-X,LONG-SLEEVE LOGO JERSEY- XL,CL-JE,Clothing,Jerseys,No,32.0,Sports,2011-07-01,2007-12-28
25,236,CL-JE-LJ-0192-X,LONG-SLEEVE LOGO JERSEY- XL,CL-JE,Clothing,Jerseys,No,29.0,Sports,2012-07-01,2008-12-27
26,237,CL-JE-LJ-0192-X,LONG-SLEEVE LOGO JERSEY- XL,CL-JE,Clothing,Jerseys,No,38.0,Sports,2013-07-01,
27,238,CO-RF-FR-R92R-62,HL ROAD FRAME - RED- 62,CO-RF,Components,Road Frames,Yes,748.0,Roadways,2011-07-01,2007-12-28
28,239,CO-RF-FR-R92R-62,HL ROAD FRAME - RED- 62,CO-RF,Components,Road Frames,Yes,722.0,Roadways,2012-07-01,2008-12-27
29,240,CO-RF-FR-R92R-62,HL ROAD FRAME - RED- 62,CO-RF,Components,Road Frames,Yes,869.0,Roadways,2013-07-01,
30,241,CO-RF-FR-R92R-44,HL ROAD FRAME - RED- 44,CO-RF,Components,Road Frames,Yes,748.0,Roadways,2011-07-01,2007-12-28
31,242,CO-RF-FR-R92R-44,HL ROAD FRAME - RED- 44,CO-RF,Components,Road Frames,Yes,722.0,Roadways,2012-07-01,2008-12-27
32,243,CO-RF-FR-R92R-44,HL ROAD FRAME - RED- 44,CO-RF,Components,Road Frames,Yes,869.0,Roadways,2013-07-01,
33,244,CO-RF-FR-R92R-48,HL ROAD FRAME - RED- 48,CO-RF,Components,Road Frames,Yes,748.0,Roadways,2011-07-01,2007-12-28
34,245,CO-RF-FR-R92R-48,HL ROAD FRAME - RED- 48,CO-RF,Components,Road Frames,Yes,722.0,Roadways,2012-07-01,2008-12-27
35,246,CO-RF-FR-R92R-48,HL ROAD FRAME - RED- 48,CO-RF,Components,Road Frames,Yes,869.0,Roadways,2013-07-01,
36,247,CO-RF-FR-R92R-52,HL ROAD FRAME - RED- 52,CO-RF,Components,Road Frames,Yes,748.0,Roadways,2011-07-01,2007-12-28
37,248,CO-RF-FR-R92R-52,HL ROAD FRAME - RED- 52,CO-RF,Components,Road Frames,Yes,722.0,Roadways,2012-07-01,2008-12-27
38,249,CO-RF-FR-R92R-52,HL ROAD FRAME - RED- 52,CO-RF,Components,Road Frames,Yes,869.0,Roadways,2013-07-01,
39,250,CO-RF-FR-R92R-56,HL ROAD FRAME - RED- 56,CO-RF,Components,Road Frames,Yes,748.0,Roadways,2011-07-01,2007-12-28
40,251,CO-RF-FR-R92R-56,HL ROAD FRAME - RED- 56,CO-RF,Components,Road Frames,Yes,722.0,Roadways,2012-07-01,2008-12-27
41,252,CO-RF-FR-R92R-56,HL ROAD FRAME - RED- 56,CO-RF,Components,Road Frames,Yes,869.0,Roadways,2013-07-01,
42,253,CO-RF-FR-R38B-58,LL ROAD FRAME - BLACK- 58,CO-RF,Components,Road Frames,Yes,176.0,Roadways,2011-07-01,2007-12-28
43,254,CO-RF-FR-R38B-58,LL ROAD FRAME - BLACK- 58,CO-RF,Components,Road Frames,Yes,170.0,Roadways,2012-07-01,2008-12-27
44,255,CO-RF-FR-R38B-58,LL ROAD FRAME - BLACK- 58,CO-RF,Components,Road Frames,Yes,205.0,Roadways,2013-07-01,
45,256,CO-RF-FR-R38B-60,LL ROAD FRAME - BLACK- 60,CO-RF,Components,Road Frames,Yes,176.0,Roadways,2011-07-01,2007-12-28
46,257,CO-RF-FR-R38B-60,LL ROAD FRAME - BLACK- 60,CO-RF,Components,Road Frames,Yes,170.0,Roadways,2012-07-01,2008-12-27
47,258,CO-RF-FR-R38B-60,LL ROAD FRAME - BLACK- 60,CO-RF,Components,Road Frames,Yes,205.0,Roadways,2013-07-01,
48,259,CO-RF-FR-R38B-62,LL ROAD FRAME - BLACK- 62,CO-RF,Components,Road Frames,Yes,176.0,Roadways,2011-07-01,2007-12-28
49,260,CO-RF-FR-R38B-62,LL ROAD FRAME - BLACK- 62,CO-RF,Components,Road Frames,Yes,170.0,Roadways,2012-07-01,2008-12-27
50,261,CO-RF-FR-R38B-62,LL ROAD FRAME - BLACK- 62,CO-RF,Components,Road Frames,Yes,205.0,Roadways,2013-07-01,
51,262,CO-RF-FR-R38R-44,LL ROAD FRAME - RED- 44,CO-RF,Components,Road Frames,Yes,181.0,Roadways,2011-07-01,2007-12-28
